date,Ravi River,Shamkay Bhattian,Bahria Town School and College,Kot Arain,Jhedu Minor,Jinnah Sector LDA City,Institute of Southern Lahore,Badhwar,Ravi River,Khudpur,Bahria Town Marquee,"Barkat Ali MArket, Riwind Rd",Bakra Mandi Defence Road,Lahore Ring Road Kahna Interchange,Ahlu Rd,Mallian Road,Sultan Pur,Thathan Naulan,Model Baraz Chung,Bilal Town LDA Avenue,Wapda Town Phase 1,Pak-Arab Housing Scheme,Deo Kalan,Thethar Rd,Nizampura,Sharaqpur,Ravi River Katar Band South,General Bus Stand Thoker Niaz Baig,Johar Town Park,Pak Electron Limited (PEL) Walton Road,Khyaban-e-Jinnah Rd Sector G,Defence Raya Golf Resort Jamia Masjid,Qillah Sharief,Canal Upper Chenab,Shadhanwali Forest Reserve 2,Shahdiwal,Qasim Ali Shah Foundation Wahdat Road,Gulberg III Block C3,Allama Iqbal International Airport,Lahore School of Economics Shabbir Sharif Rd,Chak 22,West Minister Farmhouse,Katal Lahore-Jaranwala Rd,Burj Near Ravi River,Samanabad Town,Punjab Board of Investment & Trade PBIT,Al-Faisal Town,Paragon City,Chak 10,Budho Sharif,Burj Attari Stadium,Lahore Multan Motorway Interchange,Bund Road Khokhar Town,Shaheen Park Shad Bagh,Sue Wala Road Shalimar Housing Scheme,Lahore Medical and Dental College,Dhamoke Sheikhupura Rd,Pind Road Sheikhpura,Kala Shah Kaku,Kot Abdul Malik,Shahdara,Jhuggian Jodha,Sialkot Lahore Motorway,Natt Kalan
7/31/2021,0.336885878,0.295419699,0.280071236,0.30363501,0.318246273,0.32803928,0.342750897,0.335116937,0.363003636,0.32695289,0.285486711,0.296951001,0.316253627,0.345708838,0.353270593,0.343578908,0.360423194,0.328621235,0.293909861,0.289022056,0.346751452,0.35053684,0.368975654,0.35967492,0.343313684,0.321989215,0.297857621,0.295559359,0.334551211,0.361750203,0.376218664,0.388459016,0.333963336,0.30117361,0.290878828,0.308444045,0.328816428,0.413920075,0.391292479,0.374979407,0.31503817,0.28835376,0.294956744,0.304121967,0.335281927,0.378618692,0.386360739,0.369040168,0.309144196,0.307607497,0.307369375,0.300310926,0.315697324,0.359553503,0.371150969,0.370133806,0.309144196,0.306105109,0.30502319,0.312235836,0.31772859,0.345958035,0.358062673,0.356415793
7/30/2021,0.40085578,0.392207636,0.398867644,0.391720036,0.370400722,0.368504364,0.371823253,0.37703842,0.409503924,0.409503924,0.40085578,0.395475905,0.384572428,0.395056684,0.391186647,0.386653026,0.435865078,0.422684481,0.409503924,0.399531068,0.394151152,0.409319724,0.405540981,0.393521234,0.412836505,0.412836505,0.435865078,0.416723859,0.389558211,0.427584971,0.442753503,0.419210025,0.389182443,0.389807931,0.414957857,0.414957857,0.431968261,0.455872969,0.46561173,0.435615117,0.388556915,0.388556915,0.386200783,0.402190198,0.492374386,0.536353593,0.515255447,0.472057658,0.388556915,0.388556915,0.376402461,0.412122058,0.472887521,0.598985412,0.547026318,0.506754937,0.388556915,0.388556915,0.400890937,0.364248048,0.451039248,0.562555879,0.556526151,0.533226917
7/29/2021,0.441261948,0.446377122,0.460533927,0.505070323,0.573905075,0.607244982,0.702724154,0.775435748,0.461306606,0.450931121,0.450577985,0.488099787,0.569727972,0.60681972,0.702724154,0.775435748,0.472570347,0.459516684,0.449663633,0.512808827,0.53911191,0.606394459,0.847210883,0.792730989,0.475553457,0.463548207,0.467193009,0.496017054,0.512672952,0.619601313,0.78098895,0.810026229,0.467272866,0.456165578,0.475049265,0.491123691,0.507239759,0.606594928,0.714767017,0.788170385,0.480230604,0.465160736,0.491022007,0.51282719,0.511624378,0.578682013,0.657170555,0.699036061,0.479198782,0.479334697,0.524121014,0.52224922,0.527615202,0.611541971,0.611086184,0.62251709,0.48414957,0.493883257,0.518350349,0.530698909,0.557427979,0.57563451,0.5955412,0.610630398
7/28/2021,0.3388838,0.34252534,0.342209052,0.341892804,0.337663027,0.333433209,0.388011324,0.38614831,0.3352423,0.3352423,0.34511758,0.35135136,0.345125473,0.364251551,0.388011324,0.38614831,0.335082586,0.335162443,0.342954628,0.350746813,0.344365923,0.367780856,0.391195789,0.385296862,0.33951992,0.33951992,0.337883108,0.340683629,0.325424528,0.358821941,0.391707552,0.372138896,0.336812988,0.343957294,0.348747844,0.336904242,0.32027017,0.35995283,0.379015884,0.360182253,0.329668722,0.329668722,0.363980246,0.340995165,0.32323105,0.348642697,0.357031818,0.343781793,0.370840199,0.365045654,0.361615698,0.347002341,0.332388943,0.344425645,0.341224106,0.336236711,0.370840199,0.365045654,0.359251149,0.349993505,0.344851228,0.342640072,0.340956142,0.337855844
7/27/2021,0.473416158,0.473416158,0.473416158,0.516450246,0.559484334,0.529014254,0.498544216,0.498544216,0.475332813,0.473416158,0.473416158,0.516450246,0.559484334,0.529014254,0.498544216,0.498544216,0.490765321,0.477249467,0.477249467,0.533291834,0.591250895,0.570601972,0.536591513,0.549953048,0.504281133,0.504281133,0.490765321,0.554958565,0.619151809,0.600849634,0.552011256,0.567178258,0.538199331,0.521240232,0.521240232,0.555398646,0.589557019,0.589509539,0.53631155,0.563732797,0.518198931,0.518198931,0.525905741,0.551013543,0.563827756,0.525224799,0.486621843,0.486621843,0.498198571,0.498198571,0.500797979,0.493261716,0.485087279,0.468363001,0.449413148,0.468017476,0.498198571,0.498198571,0.500797979,0.493261716,0.485087279,0.468363001,0.449413148,0.449413148
7/26/2021,0.423786535,0.423786535,0.43139589,0.40968623,0.405859927,0.436136182,0.473172397,0.479932317,0.411820348,0.39446752,0.399539887,0.407149242,0.417115655,0.436136182,0.473172397,0.479932317,0.429173176,0.429173176,0.415542269,0.435934586,0.428371422,0.524828695,0.510515719,0.48806753,0.427276093,0.428224634,0.428075148,0.455377314,0.476838462,0.524239772,0.524218429,0.514216215,0.416671144,0.416671144,0.4219352,0.438251051,0.481751839,0.516588254,0.535938762,0.507919331,0.392692498,0.406066155,0.431683062,0.436138518,0.474626984,0.503786042,0.520275018,0.484031335,0.379318842,0.407614693,0.433796803,0.441393593,0.464625173,0.482804441,0.466973532,0.450358589,0.379318842,0.407614693,0.431147982,0.446418319,0.452856796,0.460147326,0.455976868,0.447659913
7/25/2021,0.290012037,0.290012037,0.28863316,0.305224021,0.314120798,0.365161876,0.41833526,0.414229879,0.299346719,0.291390954,0.291390954,0.310317691,0.316253103,0.367355112,0.406851196,0.410124499,0.307302485,0.307302485,0.299346719,0.31819227,0.344993546,0.415659216,0.399472514,0.390554313,0.293831655,0.30056705,0.307302485,0.323877198,0.366845684,0.40847484,0.384388671,0.372580105,0.299537724,0.299537724,0.305509905,0.320532696,0.345975351,0.390037194,0.376234974,0.358902081,0.302408398,0.305243794,0.30482409,0.310110456,0.334993547,0.371418046,0.333650068,0.34612536,0.299573002,0.299573002,0.303377921,0.303032678,0.337615628,0.324832988,0.32653516,0.326476928,0.299573002,0.299573002,0.305464479,0.308955687,0.319743426,0.319852319,0.31811652,0.312050348
7/24/2021,0.358095333,0.358095333,0.358095333,0.360072717,0.40643564,0.40631217,0.393251258,0.393251258,0.358095333,0.358095333,0.358095333,0.360807138,0.372809407,0.40643564,0.404498327,0.412224266,0.358095333,0.358095333,0.358095333,0.362706396,0.372809407,0.394919038,0.406385705,0.431197234,0.358095333,0.358095333,0.358095333,0.359994551,0.372809407,0.38793795,0.395505987,0.395505987,0.358095333,0.358095333,0.357856284,0.357706034,0.362733135,0.371378661,0.38490418,0.38490418,0.358095333,0.358095333,0.357856284,0.357706034,0.362733135,0.355017787,0.355017787,0.369960963,0.358095333,0.357856284,0.357706034,0.357706034,0.362733135,0.355017787,0.355017787,0.355017787,0.358095333,0.357856284,0.357706034,0.357706034,0.355017787,0.355017787,0.355017787,0.355017787
7/23/2021,0.32281936,0.314919974,0.314919974,0.322706401,0.330492826,0.341170787,0.351848706,0.353177486,0.325907698,0.330718747,0.330718747,0.330068653,0.337317905,0.352011441,0.366704978,0.353177486,0.32109665,0.32109665,0.325907698,0.332471459,0.339035219,0.362852096,0.381561249,0.378823872,0.316922326,0.319009488,0.319009488,0.327512012,0.333927414,0.358058646,0.382189838,0.352980601,0.318830323,0.318830323,0.316922326,0.329830974,0.342739581,0.379973688,0.358392412,0.342968964,0.317501382,0.32073836,0.32073836,0.345914502,0.343785579,0.360815192,0.340797918,0.32563007,0.314264444,0.314264444,0.324874266,0.340699295,0.339418961,0.338138667,0.325146739,0.317775828,0.314264444,0.314264444,0.324874266,0.326696083,0.335052343,0.334620638,0.327090053,0.319559508
7/22/2021,0.277196616,0.290072725,0.291940934,0.27878305,0.273264079,0.280051101,0.284295416,0.277495427,0.2747655,0.292523332,0.291072773,0.276746065,0.277521401,0.292751347,0.298073715,0.282830762,0.276368887,0.297170075,0.285780648,0.300606435,0.33108485,0.326486351,0.310697244,0.301413464,0.274096962,0.277485278,0.281356725,0.288409455,0.314624668,0.321492876,0.308451052,0.313026797,0.269056531,0.270911571,0.26239753,0.276421038,0.29473465,0.307153241,0.296746787,0.294282286,0.266744697,0.265309038,0.233543221,0.283775277,0.294314745,0.31408705,0.33036702,0.307424909,0.275032698,0.280087989,0.247969621,0.297559294,0.306492113,0.324817645,0.334050522,0.317266643,0.275032698,0.275517117,0.28300586,0.294273427,0.308303016,0.322624409,0.331374639,0.329365522
