date,Ravi River,Shamkay Bhattian,Bahria Town School and College,Kot Arain,Jhedu Minor,Jinnah Sector LDA City,Institute of Southern Lahore,Badhwar,Ravi River,Khudpur,Bahria Town Marquee,"Barkat Ali MArket, Riwind Rd",Bakra Mandi Defence Road,Lahore Ring Road Kahna Interchange,Ahlu Rd,Mallian Road,Sultan Pur,Thathan Naulan,Model Baraz Chung,Bilal Town LDA Avenue,Wapda Town Phase 1,Pak-Arab Housing Scheme,Deo Kalan,Thethar Rd,Nizampura,Sharaqpur,Ravi River Katar Band South,General Bus Stand Thoker Niaz Baig,Johar Town Park,Pak Electron Limited (PEL) Walton Road,Khyaban-e-Jinnah Rd Sector G,Defence Raya Golf Resort Jamia Masjid,Qillah Sharief,Canal Upper Chenab,Shadhanwali Forest Reserve 2,Shahdiwal,Qasim Ali Shah Foundation Wahdat Road,Gulberg III Block C3,Allama Iqbal International Airport,Lahore School of Economics Shabbir Sharif Rd,Chak 22,West Minister Farmhouse,Katal Lahore-Jaranwala Rd,Burj Near Ravi River,Samanabad Town,Punjab Board of Investment & Trade PBIT,Al-Faisal Town,Paragon City,Chak 10,Budho Sharif,Burj Attari Stadium,Lahore Multan Motorway Interchange,Bund Road Khokhar Town,Shaheen Park Shad Bagh,Sue Wala Road Shalimar Housing Scheme,Lahore Medical and Dental College,Dhamoke Sheikhupura Rd,Pind Road Sheikhpura,Kala Shah Kaku,Kot Abdul Malik,Shahdara,Jhuggian Jodha,Sialkot Lahore Motorway,Natt Kalan
6/30/2021,38.001118,25.759123,16.405676,14.558121,9.476113,6.859556,16.220257,31.040512,12.16578,32.989513,9.252773,21.482658,-17.717842,4.0375776,20.109377,38.027378,23.650354,26.459196,24.996428,21.673128,0.9289369,3.5284834,2.5436614,17.17197,29.262453,-3.0474467,24.174397,1.2818071,18.491062,7.275834,0.57333827,16.786058,25.499275,13.5513525,15.566595,-1.6266817,5.8603435,15.541735,9.306627,-5.94009,-2.208796,39.985073,21.667967,41.348785,12.602813,15.979921,12.028729,12.737919,9.462828,13.408587,9.820305,35.42481,20.050182,18.621614,15.096537,48.751385,5.860504,19.799015,7.9246507,38.043568,20.369871,21.899914,23.054178,33.98911
6/29/2021,38.56652,39.992836,39.35396,47.45604,46.867764,42.451107,42.49862,37.06455,27.255785,36.781513,43.851578,46.830654,29.042246,34.183437,32.019066,43.348293,29.505386,34.66829,35.11968,35.680954,36.719944,37.012024,41.290844,35.45625,27.45729,15.497785,6.9916735,1.3537686,18.109268,40.486168,41.450867,22.572475,28.166153,20.57634,6.4241953,10.462752,70.89028,36.957413,2.5941355,13.716364,25.218634,8.631806,20.996925,19.638536,69.36255,22.336294,4.7315555,0.06591404,23.311905,11.147522,31.740229,19.609165,11.4692335,9.758355,-7.67075,27.498453,27.762543,20.910946,33.08408,21.06632,35.559155,12.64292,3.7444928,29.749857
6/28/2021,77.61995,61.18168,23.306793,36.922604,15.746087,9.440237,7.504647,22.868547,64.38938,64.236305,33.886585,45.806427,6.1536593,4.4573946,5.785951,20.110876,19.249071,32.698692,14.125958,30.87991,37.21374,28.850563,-0.5472978,-1.6132905,17.242233,18.359928,11.9197,9.592759,6.911633,35.555405,23.79174,48.678406,14.468133,19.456644,7.554948,16.265957,69.95598,33.98703,4.1720862,3.898776,23.518831,7.9341702,6.1874824,29.688248,50.197525,17.133512,0.7115171,-0.091437936,12.03504,17.954088,17.749655,11.845384,13.368409,1.809254,-4.957306,34.390087,7.102788,29.594557,14.69901,12.709863,33.857082,2.6621144,4.108879,17.336784
6/27/2021,16.81762,18.496435,17.22978,27.03086,8.829967,21.218586,5.2651625,30.116243,-0.48298123,30.46418,17.599953,4.8936267,24.217863,16.45511,4.033009,33.908264,35.421135,2.834937,20.678705,18.847862,37.6553,5.9176884,16.046959,26.918463,8.450809,0.17506824,24.343588,12.535556,21.960321,9.899978,28.190542,30.857637,17.547804,17.572117,15.920231,18.499037,36.82534,25.681957,13.729936,17.377697,14.838861,10.187069,5.6841927,4.248212,32.717613,22.549793,13.486229,25.215105,21.489813,17.770853,15.696335,2.0521665,13.293635,17.771748,14.95232,18.68952,17.764212,3.549316,8.275894,8.060271,13.8083515,9.229723,11.2615185,9.5919695
6/26/2021,5.856899,2.8873348,1.5406264,24.916334,15.644858,32.31809,34.798862,22.778149,1.3660525,13.883349,30.164633,24.018072,31.729666,-0.4708175,16.975073,19.333084,41.789536,22.737562,32.341003,33.036694,26.540382,11.519937,20.740108,26.428223,13.726695,4.4548283,16.689335,12.669235,1.478958,1.6139383,29.704905,23.134352,28.51036,19.823807,5.643147,15.849588,62.409653,28.46297,11.85331,27.846252,20.750715,7.7980967,9.149363,9.780318,48.48324,16.699406,9.005822,7.4119663,22.774376,8.917808,22.304827,22.223297,16.445614,8.336727,1.0446602,12.071547,24.537838,11.693066,16.203772,23.62562,18.691433,11.458615,-0.12335231,19.910942
6/25/2021,39.538742,14.762157,12.96121,24.053003,27.172886,-2.905651,29.706726,35.39689,22.9603,34.7988,-5.9901295,11.30295,19.706945,8.329747,22.712223,46.94789,30.846546,29.088963,-4.1373177,27.842371,46.378517,27.878284,15.440089,43.818287,28.164555,15.58328,41.870083,9.751136,11.162577,10.613158,22.214035,51.75282,20.200073,10.69196,-2.1696267,8.214067,37.482727,8.07708,30.552874,22.966955,4.2695184,11.933652,4.8080173,29.750196,30.805958,13.211144,14.9090185,9.519619,2.112175,17.408436,-1.5302304,19.040106,16.765589,8.704885,19.980757,27.526976,-0.8665596,-0.5266178,7.2786703,19.87872,18.658045,18.691473,19.360168,21.356237
6/24/2021,22.132193,12.745539,22.977776,35.37728,48.804855,30.764036,32.17545,49.164055,22.558088,25.19907,22.293074,41.30525,57.62859,31.458117,36.492985,44.066933,25.73879,10.297334,16.414093,29.372004,37.524685,25.768167,36.952507,50.084686,29.521685,14.750173,30.558662,7.101352,25.169024,15.562017,44.63658,48.122066,29.10653,12.400743,5.2238803,5.2066565,29.016026,22.842985,33.6329,23.645979,1.6758866,9.260075,5.37629,22.313871,19.089817,42.570084,12.873552,17.164276,14.889193,32.419807,0.13081987,9.419042,34.123386,26.911648,3.6880589,31.088757,7.5892253,3.6290696,5.596581,16.660471,39.411724,60.21966,14.07406,19.118074
6/23/2021,23.5141,15.268918,36.35129,21.083815,38.445896,50.967155,40.55993,16.315485,1.4734912,26.693588,33.39552,25.8823,35.316826,46.514034,39.250378,16.50965,17.566154,28.679544,13.088066,10.9723625,19.126,23.179937,17.790598,29.593142,62.970734,23.108505,26.097271,20.695175,21.13299,25.425411,3.68955,19.655455,48.266354,14.40151,29.62168,18.843544,10.775728,28.193062,5.0627203,25.571392,20.226353,27.182104,31.712982,22.199139,5.9671845,23.701796,13.7484045,27.626421,18.36146,18.589882,21.913025,22.410841,18.57945,20.38551,18.616968,24.786442,19.580307,12.989326,18.808138,18.02709,18.140427,12.913237,24.425539,18.75609
6/22/2021,27.139866,31.323462,15.941081,36.84047,26.284641,27.284773,26.376516,14.688406,19.355366,34.06967,13.935812,21.917873,3.699081,36.48166,18.808155,37.181995,31.532314,30.605354,18.893564,16.191746,37.528454,15.597869,6.7755823,25.32895,13.520415,25.873343,41.235737,8.858278,-2.6811936,19.23026,3.4432173,35.50434,10.406118,24.248688,22.248825,7.7510448,22.165092,13.684059,17.824654,28.461191,3.2150507,14.454749,1.8815013,-1.2483373,15.869518,21.198912,10.900488,29.707045,9.313308,3.5628653,3.3524961,9.132283,6.159882,13.235184,9.121374,19.100567,12.315131,3.5947397,9.281647,4.3092604,11.65477,9.763128,15.2363405,10.592387
6/21/2021,-4.8313227,16.857859,29.127575,21.215712,20.06731,23.045622,28.427172,28.976236,22.09631,9.536004,18.67871,57.895046,19.798458,6.5168986,47.171375,8.2091465,31.033236,14.407064,23.177261,1.9530165,54.08612,5.7454348,42.474205,2.991062,33.05219,30.768747,13.921932,25.1508,60.082146,24.300608,21.41114,4.68577,27.645672,45.946438,56.24008,20.312817,50.347553,24.709707,3.6138437,25.150154,10.4338665,34.379364,44.58908,27.549448,34.291073,1.4537973,12.434617,7.9702444,12.227874,21.631655,15.325839,28.021067,19.432241,23.552942,-0.32708958,26.790722,5.92557,22.221718,20.93496,16.088129,22.437868,30.10001,3.5108297,3.9765308
