date,Ravi River,Shamkay Bhattian,Bahria Town School and College,Kot Arain,Jhedu Minor,Jinnah Sector LDA City,Institute of Southern Lahore,Badhwar,Ravi River,Khudpur,Bahria Town Marquee,"Barkat Ali MArket, Riwind Rd",Bakra Mandi Defence Road,Lahore Ring Road Kahna Interchange,Ahlu Rd,Mallian Road,Sultan Pur,Thathan Naulan,Model Baraz Chung,Bilal Town LDA Avenue,Wapda Town Phase 1,Pak-Arab Housing Scheme,Deo Kalan,Thethar Rd,Nizampura,Sharaqpur,Ravi River Katar Band South,General Bus Stand Thoker Niaz Baig,Johar Town Park,Pak Electron Limited (PEL) Walton Road,Khyaban-e-Jinnah Rd Sector G,Defence Raya Golf Resort Jamia Masjid,Qillah Sharief,Canal Upper Chenab,Shadhanwali Forest Reserve 2,Shahdiwal,Qasim Ali Shah Foundation Wahdat Road,Gulberg III Block C3,Allama Iqbal International Airport,Lahore School of Economics Shabbir Sharif Rd,Chak 22,West Minister Farmhouse,Katal Lahore-Jaranwala Rd,Burj Near Ravi River,Samanabad Town,Punjab Board of Investment & Trade PBIT,Al-Faisal Town,Paragon City,Chak 10,Budho Sharif,Burj Attari Stadium,Lahore Multan Motorway Interchange,Bund Road Khokhar Town,Shaheen Park Shad Bagh,Sue Wala Road Shalimar Housing Scheme,Lahore Medical and Dental College,Dhamoke Sheikhupura Rd,Pind Road Sheikhpura,Kala Shah Kaku,Kot Abdul Malik,Shahdara,Jhuggian Jodha,Sialkot Lahore Motorway,Natt Kalan
6/15/2021,3.4055057,3.7989373,3.977581,4.2415223,3.762646,3.2857127,3.2734008,2.9529953,3.245222,3.4118059,4.006119,4.0491757,4.031379,3.5805347,3.3233132,2.9692893,3.1067889,3.2210503,3.753534,4.1698327,4.1725793,4.071481,3.6892374,3.2308607,3.097805,3.2343993,3.6477976,4.079715,4.5385866,4.65195,4.1349435,3.4463522,3.1203017,3.1746707,3.328551,3.7719586,4.464397,4.76341,4.260352,3.5948706,3.131212,3.3093476,3.3357193,3.8083727,4.7701507,4.9758716,4.446905,3.7826774,3.1966326,3.3735685,3.4191759,3.8774898,4.5699916,4.801034,4.852167,3.8458178,3.3775947,3.4205828,3.3929412,4.01413,4.4385567,4.727991,4.7036505,4.41042
6/14/2021,2.5417852,2.7509203,3.0140026,3.1340675,2.7916188,2.3189487,2.184157,2.2331576,2.4199398,2.664549,2.9604192,2.9414392,2.7549074,2.560591,2.377317,2.315555,2.235732,2.5367668,2.9296741,3.0038018,3.060312,2.823838,2.6279347,2.4992936,2.3146648,2.383968,2.5584695,3.0481627,3.3113894,3.1085763,3.1233408,2.5575373,2.3069558,2.28843,2.2515078,2.735333,3.2712238,3.4481373,3.3835804,2.6541677,2.2063725,2.2358232,2.1855495,2.7201579,3.5135436,3.6259189,3.670949,3.0146224,2.2552767,2.3395407,2.3330302,2.722641,3.437525,3.942606,3.8834698,2.9650192,2.321844,2.3137264,2.3947513,2.9328744,3.48497,4.02428,3.779866,3.17828
6/13/2021,4.3485913,4.6245356,4.848686,4.496375,3.9729593,3.2787752,3.0263708,2.7321346,4.1079426,4.56306,4.828782,4.631436,4.130669,3.493216,3.1179206,2.707846,3.8282979,4.2650604,4.676021,4.6457577,4.582964,3.9420686,3.572791,2.905538,3.9258075,4.1383815,4.3709803,4.668174,4.933478,4.6285257,4.0081697,2.9861417,3.917096,4.113004,4.1616917,4.5669084,5.091592,5.1716447,4.4947257,3.4322116,4.0508895,4.104,4.0217175,4.3411946,5.438331,5.454398,5.0510926,3.8232849,3.982181,4.0938463,4.067051,4.5458045,5.298604,5.6089625,5.0941,3.9570193,4.1377215,4.081501,4.227676,4.6179147,5.1870313,5.4121876,5.008867,4.4045725
6/12/2021,3.4575107,3.6613672,3.6589544,3.4890814,3.122931,2.4356377,1.9280416,1.7743806,3.3756952,3.638479,3.6361318,3.4189265,3.157055,2.6281614,2.1058173,1.7803283,3.2349372,3.5454843,3.539535,3.4595578,3.519425,2.938755,2.2606826,1.9099722,3.278054,3.4138706,3.5134168,3.6089478,3.6073828,3.2358143,2.6281369,2.1181564,3.2030435,3.2920318,3.3285909,3.4997997,3.7713473,3.357628,2.9028459,2.4525785,3.0826716,3.2772758,3.0659676,3.2566974,3.8996882,3.845753,3.1607513,2.628031,3.1521134,3.1827323,3.3615518,3.424223,3.678466,3.7738922,3.261678,2.6693811,3.1779854,3.1386724,3.2664812,3.3740597,3.5942702,3.700656,3.275623,2.961579
6/11/2021,2.4990547,2.593215,2.6751413,2.4881988,2.2456882,1.956717,1.580906,1.4684945,2.267149,2.454455,2.61451,2.4633532,2.3924692,1.989777,1.6546196,1.39755,2.2727098,2.368625,2.4994195,2.405881,2.5165043,2.3226495,1.8064255,1.4172289,2.2242997,2.3200128,2.4793622,2.5653806,2.6959019,2.4514723,1.9376496,1.5103352,2.2638748,2.2301345,2.3814874,2.6977215,2.7289426,2.6075354,2.0483754,1.6669188,2.2009566,2.1894903,2.4158354,2.6454525,2.9965038,2.6782737,2.3506532,2.0375953,2.2812042,2.3029523,2.450562,2.6727693,2.8991973,2.871418,2.759814,2.2818751,2.3830996,2.1620393,2.5565526,2.6899292,2.7859867,2.9858623,2.831407,2.6258528
6/10/2021,3.1677024,3.4731193,3.6004512,3.730671,3.5326731,3.1222675,2.8360643,2.5799968,3.0477538,3.3176334,3.553141,3.675137,3.642313,3.3172219,2.83656,2.6431394,2.9138103,3.0645316,3.4954844,3.6495438,3.9673915,3.7445462,3.077909,2.5435383,2.8470883,2.997664,3.3698602,3.7813,4.0749598,4.2284703,3.4123585,2.7057574,2.7996404,2.905281,3.135182,3.708589,4.246435,4.286467,3.4761283,2.8894777,2.8284721,2.9516835,3.2737262,3.7502084,4.1281676,4.156,3.3353102,2.7384934,2.8084233,3.01299,3.4921176,3.935229,3.8628244,4.16733,3.3537807,2.5114226,2.8606775,3.0566316,3.573968,4.022697,3.957671,4.0512714,3.512978,2.9478703
6/9/2021,2.859759,3.0919619,3.1405334,3.2183423,3.0963411,2.6648595,2.5286283,2.4539943,2.5658658,2.778984,2.9313061,3.0699987,3.0428972,2.8141515,2.6364005,2.5636132,2.1216435,2.482864,2.8426988,3.0709975,3.1741662,3.1483266,2.937099,2.6235147,2.0467086,2.2257934,2.6783707,2.942421,3.204657,3.4810038,3.3974128,2.7445128,1.9078937,2.1012194,2.3549178,2.8232398,3.3411279,3.6487572,3.469021,2.850633,1.918098,2.0859153,2.3188932,2.769414,3.4964128,3.6597586,3.6415584,2.9764352,1.9902267,2.1388865,2.4643855,2.864653,3.4157476,3.761239,3.6514232,2.7837076,2.1184583,2.1948776,2.5583916,2.9390514,3.464298,3.7166948,3.5417893,3.032327
6/8/2021,2.8259013,3.1534116,3.3302336,3.212961,2.6795394,2.2159936,1.8562416,1.893804,2.5407257,2.9398024,3.2031448,3.1878088,2.7413988,2.5225804,2.0797765,1.8368175,2.286412,2.4842527,3.0560358,3.2005055,3.0503283,3.0333943,2.5743883,1.9633169,2.1479414,2.3948684,2.74079,3.032566,3.356674,3.485436,2.9533958,2.392671,2.188346,2.177332,2.471096,3.065206,3.453026,3.6775799,3.4386892,2.609867,2.1912,2.2231722,2.3185196,2.8904772,3.5717704,3.8009977,3.6825278,2.6679864,2.2656107,2.2357492,2.3937,2.8793194,3.5469215,3.7087028,3.806126,2.8167589,2.3706026,2.2546072,2.3783755,2.9255936,3.468322,3.6022153,3.5730336,3.1065705
6/7/2021,3.7481902,3.9949148,4.2115483,4.1362166,3.5275738,3.0184186,2.5492463,2.430967,3.5093918,3.76976,4.0715947,4.111961,3.6261477,3.166939,2.8118377,2.5474384,3.0789034,3.3717093,3.9026294,4.120032,3.9670177,3.6115954,3.1782064,2.4599142,3.074712,3.2095747,3.7586234,3.981738,4.497282,4.2119184,3.870475,2.8114598,2.9410472,3.0438695,3.336465,3.8359563,4.2478814,4.4253426,3.9460618,3.0812852,2.9075081,3.0877714,3.1184943,3.5717905,4.224553,4.4818044,4.021241,3.1367075,2.952216,3.0753098,3.124741,3.514091,4.2415895,4.1026955,3.9488878,2.9579644,3.121108,3.1267366,3.2139962,3.454858,3.9912796,4.122734,3.9507463,3.2316535
6/6/2021,3.8407924,4.2120647,4.433731,4.3759975,3.968586,3.3748782,3.007744,2.407311,3.6900668,3.9580827,4.3319745,4.552289,4.162414,3.521323,2.9762602,2.387012,3.3159282,3.6380377,4.2760663,4.55061,4.4844127,3.9957001,3.2550673,2.4938936,3.2973986,3.5287104,4.2251797,4.565703,4.8044596,4.5247893,3.7051702,2.8047674,3.245173,3.3856914,3.8894823,4.513181,4.792782,4.5448456,4.0051455,2.730635,3.2734146,3.552044,3.757022,4.2226562,4.708403,4.5617495,3.8114457,2.8743856,3.4132204,3.6630466,3.7739987,4.3203754,4.5853233,4.431282,3.8803859,3.0051253,3.5551972,3.6976008,3.8374255,4.277755,4.386282,4.280903,3.7936454,3.5074944
