date,Ravi River,Shamkay Bhattian,Bahria Town School and College,Kot Arain,Jhedu Minor,Jinnah Sector LDA City,Institute of Southern Lahore,Badhwar,Ravi River,Khudpur,Bahria Town Marquee,"Barkat Ali MArket, Riwind Rd",Bakra Mandi Defence Road,Lahore Ring Road Kahna Interchange,Ahlu Rd,Mallian Road,Sultan Pur,Thathan Naulan,Model Baraz Chung,Bilal Town LDA Avenue,Wapda Town Phase 1,Pak-Arab Housing Scheme,Deo Kalan,Thethar Rd,Nizampura,Sharaqpur,Ravi River Katar Band South,General Bus Stand Thoker Niaz Baig,Johar Town Park,Pak Electron Limited (PEL) Walton Road,Khyaban-e-Jinnah Rd Sector G,Defence Raya Golf Resort Jamia Masjid,Qillah Sharief,Canal Upper Chenab,Shadhanwali Forest Reserve 2,Shahdiwal,Qasim Ali Shah Foundation Wahdat Road,Gulberg III Block C3,Allama Iqbal International Airport,Lahore School of Economics Shabbir Sharif Rd,Chak 22,West Minister Farmhouse,Katal Lahore-Jaranwala Rd,Burj Near Ravi River,Samanabad Town,Punjab Board of Investment & Trade PBIT,Al-Faisal Town,Paragon City,Chak 10,Budho Sharif,Burj Attari Stadium,Lahore Multan Motorway Interchange,Bund Road Khokhar Town,Shaheen Park Shad Bagh,Sue Wala Road Shalimar Housing Scheme,Lahore Medical and Dental College,Dhamoke Sheikhupura Rd,Pind Road Sheikhpura,Kala Shah Kaku,Kot Abdul Malik,Shahdara,Jhuggian Jodha,Sialkot Lahore Motorway,Natt Kalan
7/31/2021,11.56614909,11.56614909,11.56614909,12.15735076,12.74855243,12.17096067,11.5933693,11.5933693,11.56614909,11.56614909,11.56614909,12.15735076,12.74855243,12.17096067,11.5933693,11.5933693,14.24053954,14.24053954,12.90334431,12.70973291,12.5161207,9.96015398,8.045090805,7.404186864,10.29185395,10.29185395,8.937167501,8.937167501,7.582481049,5.890584132,6.789315099,14.1003693,6.361294378,6.605445569,6.856517668,11.15123548,10.53876397,9.11719709,6.49025986,7.85819178,7.029767976,5.999776996,10.45957262,6.588648966,6.493783122,6.571689919,6.398917277,6.398917277,6.424991207,5.969450374,10.80483514,11.48254051,7.737252922,10.37012736,16.20031601,6.145748337,6.810762893,5.790981264,7.348305802,8.121618296,10.43729514,10.8562877,12.67430973,11.03491604
7/30/2021,6.529754478,7.966133409,17.04778901,14.23205557,10.71493197,10.76663094,7.662356068,9.793381788,14.63889982,12.14421026,6.83918616,9.914635511,9.544362707,9.884268968,5.79535201,11.92440771,18.32767667,19.51959736,8.030608906,8.412949096,6.215427465,8.446487259,10.78325301,17.19999942,10.88355148,6.837037567,8.259030396,12.79993611,8.42542458,15.96977028,5.958399112,18.19800846,7.849121683,7.049383126,8.082910609,10.5938648,9.04111213,9.391252718,6.837047631,8.029090893,6.984164564,7.261728784,15.01189495,11.08033912,5.745413709,6.208835148,6.976477655,6.706330096,8.576777124,9.322673041,13.69718975,12.53387455,8.533350556,10.79524521,16.35318472,6.277220584,8.586450721,9.774414796,10.66324903,11.21944753,10.59396244,11.39188567,12.8375959,9.12818685
7/29/2021,6.615675804,6.761421573,8.280859533,14.36823229,17.98988264,9.677614359,8.207889223,9.033695229,6.632436804,6.470164102,6.83058352,14.50382933,5.786792649,9.781381555,8.482029046,9.311221588,8.401123022,7.69456552,7.242241428,6.522728986,7.310417484,7.042776442,6.018784556,6.855800809,6.968377269,6.795677594,6.018326648,8.75866036,9.569584279,11.56029194,6.806001271,6.960159515,11.95256926,5.831623374,6.795446245,10.68328816,6.405800444,7.522179084,6.296614248,5.972034378,6.111040861,8.04025966,8.757846893,5.889672487,7.859560622,7.7907474,8.841900846,8.872424389,9.609032189,7.946577596,6.667796589,8.379783336,7.633591105,7.521852128,6.899926902,7.018603411,8.811675741,8.008127955,6.791462214,6.575089017,8.89945297,7.789241776,7.201703907,6.295200807
7/28/2021,7.564718026,7.564718026,7.483515494,12.23455349,15.62452649,9.433863402,8.448007862,11.71202857,8.232986053,8.422512498,6.606639452,13.67502386,7.969055455,9.773850474,12.34804764,11.71202857,10.75513634,7.166021735,6.454839903,11.00848041,7.709636651,7.674687482,6.228994193,8.12468984,6.223847425,7.099811922,7.693820462,7.306050265,7.891808142,8.40099051,7.862409567,9.203120685,8.148768418,6.757509761,7.75695071,11.14433423,10.26566753,8.503963915,6.052183139,8.868395419,7.894681389,7.944202527,7.285666779,6.549879167,7.316800827,5.728543301,9.5545536,7.83021242,7.198484157,6.950256961,8.033470773,9.913281511,7.56210337,9.007210108,12.02675581,6.604550739,7.427582356,6.964479117,7.259055024,5.80771413,9.800777565,8.857511875,9.846815126,10.36576393
7/27/2021,13.15499664,7.152581288,9.308959115,13.49915542,14.65980363,11.26835512,7.87690661,5.753995822,5.743996824,6.015179665,8.573749268,12.33850681,10.44856916,8.217768861,5.753995822,8.9621294,6.240692327,9.718680328,9.083090828,13.90776513,11.21946865,8.55863131,5.785904865,6.654085083,6.681145418,6.240692327,10.32764263,12.42218483,11.99036854,10.07297155,7.286726379,9.344499033,8.573540437,7.022551907,6.143605158,8.839269985,6.551912409,6.175250626,8.803737791,11.48187224,10.15826762,6.921828792,8.247881837,7.427536248,8.829488812,9.852554482,6.216816269,7.421840468,11.742995,8.997369726,6.15630392,7.451476289,7.131936266,6.815361658,5.883850403,6.160683482,9.392742748,8.413117078,7.528419823,5.900271963,7.127273869,6.749366426,6.896556175,6.441073991
7/26/2021,7.265752176,6.438213646,10.15010287,15.73192149,18.21238649,11.65472329,6.080805792,9.218473748,7.431964628,5.809433757,10.15010287,14.20468452,7.549372906,9.388560624,6.080805792,9.218473748,6.945629892,9.184814254,7.227508333,8.815253527,10.12040018,8.273134942,6.074231269,7.523623874,7.303736681,6.758566231,8.108065297,11.17177836,11.56344567,11.57069073,5.999843825,8.755900257,7.369012324,6.648163024,6.090073337,9.878224376,6.293192499,6.61184041,6.112875485,11.96142028,7.203819062,7.123162181,9.26550906,6.9633968,8.32093655,9.619333576,6.324179053,7.918470833,11.79302249,8.272099895,6.136894607,7.435731762,7.57740533,6.62974551,6.491333183,5.806306517,9.811219549,8.272099895,6.631643225,7.435731762,7.948364608,7.333076586,6.516822967,7.047229734
7/25/2021,8.097550128,10.74869466,7.797444989,5.741742262,6.481016683,7.952751064,8.55654459,7.064887861,6.400283549,6.070093021,6.034925344,5.866474244,12.51584778,7.336645431,7.325934015,6.304360346,8.255964598,9.635896324,9.422784868,14.91904447,7.578242486,5.964644725,6.894020532,6.882175836,9.187536603,10.47272598,6.474247822,9.539541651,7.02831148,7.227630759,5.985706774,5.826401751,10.25699861,6.442412775,7.187004707,6.500197812,5.802877413,5.868837597,5.725950245,7.255919836,13.02443844,7.024158394,7.147700965,7.101369036,9.307027823,7.661575513,6.831407488,5.763453563,6.11142186,12.0123073,8.854106209,8.727034985,5.942626439,8.902559626,10.09282762,6.556630511,5.739134183,10.673612,6.202143457,6.399602814,5.994339044,6.411478804,5.880837593,7.952175603
7/24/2021,14.58587014,8.864799263,8.242490775,7.575951282,8.179918769,7.498983164,8.907812028,6.050738819,11.31715272,6.298505245,6.697149997,8.930932571,12.18764764,7.353736548,6.472613849,7.85317811,6.755788079,9.823574021,9.680371987,15.92177322,8.677331631,6.35403159,6.384111301,5.868826785,6.935905782,8.390980796,8.683115077,11.21135487,9.665622609,8.471833161,7.084761972,8.001314923,10.23973084,6.846983087,6.620947138,7.676552094,6.194786386,5.994560246,6.065390579,8.012712972,12.21682115,7.010210072,7.08270066,7.402976665,9.23252224,8.911172046,7.060690708,6.911574533,8.601536583,10.46287208,8.116728217,8.064021322,6.486378201,7.737955821,8.093412158,6.903672417,7.219185679,9.329165995,7.176566468,5.969071084,6.474814665,6.325549559,6.803613585,6.603598743
7/23/2021,11.72682611,11.72682611,8.739780188,5.752734369,7.386627705,10.80444245,6.965421448,7.745904167,6.82241668,6.82241668,7.76912012,5.752734369,9.982543899,8.155527186,6.965421448,7.745904167,6.954586626,8.537421436,6.798460053,10.05070032,8.42248739,10.05268661,7.288521971,6.134965432,11.991166,11.991166,8.367559354,9.39302451,14.04209632,7.495522104,7.582552785,6.391001262,8.004361788,6.230092516,7.524861372,7.090876508,9.674469845,8.076333018,8.715017927,9.353702835,11.86922361,6.193845946,6.754880847,6.513613585,8.181380461,7.361304823,8.379943972,10.44976077,11.86922361,11.86922361,10.05848607,8.019140715,5.986858353,10.86328982,9.672525004,9.672525004,11.86922361,11.86922361,9.239148454,8.019140715,5.887634945,6.401519916,9.672525004,9.672525004
7/22/2021,7.401880751,7.401880751,8.258824953,6.99289274,5.795159581,8.17500694,9.423918649,8.355030766,8.16768918,8.16768918,8.258824953,6.99289274,5.795159581,6.035130789,10.94604291,11.32245991,8.649524576,8.933497409,12.00881544,9.913333503,6.736280008,12.0322492,11.89467982,10.60223532,8.365551544,6.648917355,7.05604454,10.23523554,5.805328118,11.26504211,6.574987049,5.908433287,6.608075367,6.206584212,6.17799658,6.159146915,8.926393505,9.403381412,6.805016947,6.612866135,7.977947527,9.970676053,8.050727659,6.756952736,6.885053789,8.730273577,6.675753798,6.839310004,9.347819688,10.17586924,8.259028603,9.408051609,11.32486429,6.297204831,6.483286555,5.751377021,9.347819688,10.17586924,8.259028603,11.63309078,7.74495011,6.78571526,7.915333778,5.751377021
